id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PKET001,PKET,2020-01-01 00:00:00,2020.0027322,1,-922365.11064,6250473.36202,869690.38254,47,433244.0754,872144.4512,7.889627410737,98.394397583134,0.1499,24.7487
PKET002,PKET,2020-01-02 00:00:00,2020.0054645,2,-922365.11492,6250473.36264,869690.38188,47,433244.0795,872144.4503,7.889627403289,98.394397620754,0.1510,24.7499
PKET003,PKET,2020-01-03 00:00:00,2020.0081967,3,-922365.11103,6250473.35678,869690.37987,47,433244.0765,872144.4492,7.889627393137,98.394397593560,0.1445,24.7433
PKET004,PKET,2020-01-04 00:00:00,2020.0109290,4,-922365.10811,6250473.35764,869690.37688,47,433244.0735,872144.4462,7.889627365883,98.394397566201,0.1445,24.7433
PKET005,PKET,2020-01-05 00:00:00,2020.0136612,5,-922365.11240,6250473.36274,869690.38185,47,433244.0770,872144.4503,7.889627403345,98.394397597963,0.1508,24.7496
PKET006,PKET,2020-01-06 00:00:00,2020.0163934,6,-922365.11228,6250473.35629,869690.38317,47,433244.0778,872144.4525,7.889627423154,98.394397605463,0.1446,24.7434
PKET007,PKET,2020-01-07 00:00:00,2020.0191257,7,-922365.11258,6250473.35990,869690.38457,47,433244.0776,872144.4534,7.889627431134,98.394397603353,0.1484,24.7472
PKET008,PKET,2020-01-08 00:00:00,2020.0218579,8,-922365.11221,6250473.35952,869690.38203,47,433244.0773,872144.4510,7.889627408956,98.394397600516,0.1476,24.7464
PKET009,PKET,2020-01-09 00:00:00,2020.0245902,9,-922365.11106,6250473.35830,869690.38165,47,433244.0763,872144.4508,7.889627407275,98.394397591803,0.1462,24.7450
PKET010,PKET,2020-01-10 00:00:00,2020.0273224,10,-922365.10973,6250473.35858,869690.39375,47,433244.0750,872144.4627,7.889627515512,98.394397579485,0.1479,24.7468
PKET011,PKET,2020-01-11 00:00:00,2020.0300546,11,-922365.11511,6250473.35657,869690.38377,47,433244.0806,872144.4530,7.889627427598,98.394397630458,0.1454,24.7442
PKET012,PKET,2020-01-12 00:00:00,2020.0327869,12,-922365.11179,6250473.35868,869690.38221,47,433244.0770,872144.4513,7.889627411656,98.394397597881,0.1468,24.7456
PKET013,PKET,2020-01-13 00:00:00,2020.0355191,13,-922365.11247,6250473.36595,869690.38181,47,433244.0766,872144.4499,7.889627399008,98.394397594332,0.1539,24.7527
PKET014,PKET,2020-01-14 00:00:00,2020.0382514,14,-922365.11174,6250473.35694,869690.38186,47,433244.0772,872144.4512,7.889627410721,98.394397599751,0.1450,24.7438
PKET015,PKET,2020-01-15 00:00:00,2020.0409836,15,-922365.11093,6250473.34821,869690.38150,47,433244.0777,872144.4520,7.889627418277,98.394397604027,0.1363,24.7351
PKET016,PKET,2020-01-16 00:00:00,2020.0437158,16,-922365.11198,6250473.36332,869690.38535,47,433244.0765,872144.4537,7.889627434029,98.394397593460,0.1518,24.7506
PKET017,PKET,2020-01-17 00:00:00,2020.0464481,17,-922365.11150,6250473.36165,869690.38317,47,433244.0763,872144.4518,7.889627416707,98.394397591340,0.1498,24.7486
PKET018,PKET,2020-01-18 00:00:00,2020.0491803,18,-922365.10903,6250473.35056,869690.38161,47,433244.0755,872144.4518,7.889627416735,98.394397583891,0.1383,24.7371
PKET019,PKET,2020-01-19 00:00:00,2020.0519126,19,-922365.11139,6250473.36509,869690.38295,47,433244.0757,872144.4511,7.889627410536,98.394397585809,0.1531,24.7519
PKET020,PKET,2020-01-20 00:00:00,2020.0546448,20,-922365.11338,6250473.35716,869690.38068,47,433244.0788,872144.4499,7.889627399548,98.394397614182,0.1453,24.7441
PKET021,PKET,2020-01-21 00:00:00,2020.0573770,21,-922365.10946,6250473.35702,869690.38068,47,433244.0749,872144.4500,7.889627400399,98.394397579136,0.1446,24.7434
PKET022,PKET,2020-01-22 00:00:00,2020.0601093,22,-922365.11475,6250473.36838,869690.38336,47,433244.0785,872144.4510,7.889627409540,98.394397611552,0.1568,24.7557
PKET023,PKET,2020-01-23 00:00:00,2020.0628415,23,-922365.11054,6250473.34893,869690.38212,47,433244.0772,872144.4525,7.889627423052,98.394397599591,0.1370,24.7358
PKET024,PKET,2020-01-24 00:00:00,2020.0655738,24,-922365.11065,6250473.36560,869690.38238,47,433244.0749,872144.4505,7.889627404935,98.394397578510,0.1534,24.7522
PKET025,PKET,2020-01-25 00:00:00,2020.0683060,25,-922365.10837,6250473.36174,869690.38268,47,433244.0732,872144.4514,7.889627412759,98.394397563115,0.1493,24.7481
PKET026,PKET,2020-01-26 00:00:00,2020.0710383,26,-922365.11558,6250473.36688,869690.38132,47,433244.0795,872144.4492,7.889627392932,98.394397621012,0.1552,24.7540
PKET027,PKET,2020-01-27 00:00:00,2020.0737705,27,-922365.11400,6250473.36255,869690.38398,47,433244.0786,872144.4524,7.889627422391,98.394397612577,0.1511,24.7499
PKET028,PKET,2020-01-28 00:00:00,2020.0765027,28,-922365.10972,6250473.35872,869690.38274,47,433244.0749,872144.4518,7.889627416747,98.394397579223,0.1466,24.7454
PKET029,PKET,2020-01-29 00:00:00,2020.0792350,29,-922365.11060,6250473.35992,869690.38096,47,433244.0756,872144.4499,7.889627399137,98.394397585537,0.1476,24.7465
PKET030,PKET,2020-01-30 00:00:00,2020.0819672,30,-922365.11494,6250473.36336,869690.38426,47,433244.0794,872144.4526,7.889627423702,98.394397619938,0.1521,24.7509
PKET031,PKET,2020-01-31 00:00:00,2020.0846995,31,-922365.11314,6250473.35369,869690.38031,47,433244.0791,872144.4500,7.889627400535,98.394397616608,0.1418,24.7406
PKET032,PKET,2020-02-01 00:00:00,2020.0874317,32,-922365.11015,6250473.35143,869690.37854,47,433244.0764,872144.4486,7.889627387995,98.394397592807,0.1389,24.7377
PKET033,PKET,2020-02-02 00:00:00,2020.0901639,33,-922365.11120,6250473.35808,869690.38035,47,433244.0765,872144.4495,7.889627395878,98.394397593413,0.1458,24.7447
PKET034,PKET,2020-02-03 00:00:00,2020.0928962,34,-922365.11147,6250473.36074,869690.38119,47,433244.0764,872144.4500,7.889627400027,98.394397592260,0.1486,24.7474
PKET035,PKET,2020-02-04 00:00:00,2020.0956284,35,-922365.11406,6250473.36314,869690.38395,47,433244.0786,872144.4523,7.889627421383,98.394397612347,0.1517,24.7505
PKET036,PKET,2020-02-05 00:00:00,2020.0983607,36,-922365.11117,6250473.35970,869690.38216,47,433244.0762,872144.4511,7.889627410112,98.394397590976,0.1477,24.7465
PKET037,PKET,2020-02-06 00:00:00,2020.1010929,37,-922365.11263,6250473.36049,869690.38350,47,433244.0776,872144.4523,7.889627420844,98.394397603053,0.1488,24.7476
PKET038,PKET,2020-02-07 00:00:00,2020.1038251,38,-922365.10785,6250473.35142,869690.38252,47,433244.0742,872144.4526,7.889627424082,98.394397572140,0.1391,24.7379
PKET039,PKET,2020-02-08 00:00:00,2020.1065574,39,-922365.11316,6250473.35819,869690.38296,47,433244.0784,872144.4520,7.889627418729,98.394397610795,0.1466,24.7454
PKET040,PKET,2020-02-09 00:00:00,2020.1092896,40,-922365.11177,6250473.35599,869690.38481,47,433244.0774,872144.4542,7.889627438232,98.394397601285,0.1445,24.7433
PKET041,PKET,2020-02-10 00:00:00,2020.1120219,41,-922365.11172,6250473.35798,869690.38166,47,433244.0770,872144.4508,7.889627407622,98.394397598205,0.1460,24.7448
PKET042,PKET,2020-02-11 00:00:00,2020.1147541,42,-922365.11007,6250473.36626,869690.38179,47,433244.0742,872144.4499,7.889627398954,98.394397572379,0.1539,24.7527
PKET043,PKET,2020-02-12 00:00:00,2020.1174863,43,-922365.11043,6250473.35475,869690.37800,47,433244.0762,872144.4477,7.889627379050,98.394397590840,0.1421,24.7410
PKET044,PKET,2020-02-13 00:00:00,2020.1202186,44,-922365.10949,6250473.35415,869690.38057,47,433244.0754,872144.4503,7.889627402922,98.394397583250,0.1417,24.7406
PKET045,PKET,2020-02-14 00:00:00,2020.1229508,45,-922365.11353,6250473.36081,869690.37941,47,433244.0784,872144.4482,7.889627383640,98.394397610635,0.1487,24.7475
PKET046,PKET,2020-02-15 00:00:00,2020.1256831,46,-922365.10985,6250473.35298,869690.38057,47,433244.0759,872144.4505,7.889627404345,98.394397588020,0.1407,24.7395
PKET047,PKET,2020-02-16 00:00:00,2020.1284153,47,-922365.11365,6250473.36572,869690.38076,47,433244.0778,872144.4488,7.889627389701,98.394397605232,0.1537,24.7525
PKET048,PKET,2020-02-17 00:00:00,2020.1311475,48,-922365.11055,6250473.35592,869690.37929,47,433244.0762,872144.4488,7.889627389159,98.394397590370,0.1435,24.7423
PKET049,PKET,2020-02-18 00:00:00,2020.1338798,49,-922365.11379,6250473.36312,869690.38073,47,433244.0783,872144.4492,7.889627392625,98.394397609960,0.1512,24.7500
